z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord
51752,60091,8.75,6.25,,2.25,016-5000-1,0.25,016-0072-9,0,,Wilmette,Wilmette,IL,Cook,0,1
51753,60092,7,6.25,,0.75,049-5000-6,,,0,,Libertyville,Libertyville,IL,Lake,0,1
51755,60093,8.5,6.25,,2.25,016-5000-1,,,0,,Northfield,Winnetka,IL,Cook,0,0
51754,60093,8.5,6.25,,2.25,016-5000-1,,,0,,Hubbard Woods,Winnetka,IL,Cook,0,0
51756,60093,8.5,6.25,,2.25,016-5000-1,,,0,,Winnetka,Winnetka,IL,Cook,0,1
51757,60094,9.5,6.25,,2.25,016-5000-1,1,016-0054-0,0,,Palatine,Palatine,IL,Cook,0,1
51758,60095,9.5,6.25,,2.25,016-5000-1,1,016-0054-0,0,,Palatine,Palatine,IL,Cook,0,1
51759,60096,7,6.25,,0.75,049-5000-6,,,0,,Winthrop Harbor,Winthrop Harbor,IL,Lake,0,1
51761,60097,7,6.25,,0.75,056-5000-6,,,0,,Bull Valley,Wonder Lake,IL,McHenry,0,0
51762,60097,7,6.25,,0.75,056-5000-6,,,0,,Wonder Lake,Wonder Lake,IL,McHenry,0,1
51767,60098,7,6.25,,0.75,056-5000-6,,,0,,Bull Valley,Woodstock,IL,McHenry,0,0
51769,60098,7,6.25,,0.75,056-5000-6,,,0,,Greenwood,Woodstock,IL,McHenry,0,0
51768,60098,7,6.25,,0.75,056-5000-6,,,0,,Woodstock,Woodstock,IL,McHenry,0,1
51770,60099,7,6.25,,0.75,049-5000-6,,,0,,Beach Park,Zion,IL,Lake,0,0
51771,60099,7,6.25,,0.75,049-5000-6,,,0,,Zion,Zion,IL,Lake,0,1
51772,60101,8,6.25,,1,022-5000-7,0.75,022-0002-3,0,,Addison,Addison,IL,Dupage,0,1
